luminance,p
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000006
17,0.000000
18,0.000037
19,0.000025
20,0.000037
21,0.000087
22,0.000144
23,0.000250
24,0.000181
25,0.000194
26,0.000325
27,0.000419
28,0.000569
29,0.000581
30,0.000806
31,0.000969
32,0.001350
33,0.001594
34,0.001819
35,0.002000
36,0.002369
37,0.002913
38,0.003031
39,0.004000
40,0.004488
41,0.004938
42,0.005463
43,0.006119
44,0.006719
45,0.007338
46,0.007156
47,0.007906
48,0.007675
49,0.007400
50,0.007769
51,0.007556
52,0.006962
53,0.006769
54,0.006812
55,0.006056
56,0.005419
57,0.005000
58,0.004525
59,0.004281
60,0.004012
61,0.003781
62,0.003581
63,0.003419
64,0.003263
65,0.003256
66,0.003144
67,0.003119
68,0.002988
69,0.003294
70,0.003244
71,0.003425
72,0.003244
73,0.003200
74,0.003500
75,0.003438
76,0.003644
77,0.003325
78,0.003462
79,0.003500
80,0.003737
81,0.003550
82,0.003575
83,0.003475
84,0.003413
85,0.003550
86,0.003950
87,0.003800
88,0.004256
89,0.004406
90,0.004387
91,0.004731
92,0.004669
93,0.005269
94,0.005344
95,0.005825
96,0.006625
97,0.007144
98,0.007794
99,0.008156
100,0.007869
101,0.008162
102,0.007600
103,0.006781
104,0.006850
105,0.005906
106,0.005575
107,0.005381
108,0.004956
109,0.005213
110,0.004788
111,0.005188
112,0.005338
113,0.005194
114,0.005206
115,0.005112
116,0.005200
117,0.006000
118,0.005525
119,0.006237
120,0.006625
121,0.007056
122,0.007044
123,0.007406
124,0.008000
125,0.009000
126,0.009237
127,0.009425
128,0.008950
129,0.009169
130,0.008837
131,0.008494
132,0.008119
133,0.007550
134,0.006844
135,0.007200
136,0.007431
137,0.007831
138,0.008394
139,0.008512
140,0.008688
141,0.008794
142,0.009106
143,0.009225
144,0.009562
145,0.009144
146,0.008563
147,0.008438
148,0.008219
149,0.008637
150,0.008325
151,0.009475
152,0.009763
153,0.011044
154,0.010919
155,0.010369
156,0.009944
157,0.009237
158,0.008375
159,0.007400
160,0.007306
161,0.006738
162,0.006344
163,0.005719
164,0.005231
165,0.004856
166,0.005075
167,0.004463
168,0.004425
169,0.004175
170,0.004944
171,0.005069
172,0.004712
173,0.005019
174,0.004712
175,0.004906
176,0.004619
177,0.004269
178,0.003900
179,0.003319
180,0.003081
181,0.002812
182,0.002631
183,0.002356
184,0.002537
185,0.002288
186,0.002213
187,0.002638
188,0.002731
189,0.003138
190,0.002906
191,0.003162
192,0.003312
193,0.003269
194,0.003500
195,0.003312
196,0.003181
197,0.003037
198,0.002994
199,0.003275
200,0.003344
201,0.003644
202,0.003606
203,0.003294
204,0.003438
205,0.003644
206,0.004075
207,0.004237
208,0.004019
209,0.003919
210,0.003556
211,0.003381
212,0.002975
213,0.002969
214,0.002075
215,0.001912
216,0.001444
217,0.001506
218,0.001125
219,0.001025
220,0.000963
221,0.000725
222,0.000687
223,0.000381
224,0.000494
225,0.000362
226,0.000237
227,0.000162
228,0.000188
229,0.000119
230,0.000100
231,0.000056
232,0.000031
233,0.000063
234,0.000037
235,0.000006
236,0.000013
237,0.000013
238,0.000006
239,0.000000
240,0.000006
241,0.000000
242,0.000000
243,0.000006
244,0.000000
245,0.000000
246,0.000000
247,0.000000
248,0.000000
249,0.000000
250,0.000000
251,0.000000
252,0.000000
253,0.000000
254,0.000000
255,0.000000
